CALL #(Item)	TITLE	BARCODE		
001 D	The Great Airship of 1897 : a provocative look at the most mysterious aviation event in history / Allan Danelek.	31182019002616		
001 G	Five minds for the future / Howard Gardner.	31182017662965		
001.068 P	How to build a successful consulting practice / Jack Phillips.	31182017596999		
001.307 S	The art of freedom : teaching the humanities to the poor / Earl Shorris.	31182019714301		
001.4 H	How to become an expert on anything in two hours / Gregory Hartley and Maryann Karinch.	31182018245752		
001.42 B	"The craft of research / Wayne C. Booth, Gregory G. Colomb, Joseph M. Williams, Joseph Bizup, William T. FitzGerald."	31182034015353		
001.44 E	"The economy of prestige : prizes, awards, and the circulation of cultural value / James F. English."	31182017042291		
001.9 D	"Discover's 20 things you didn't know about everything : duct tape, airport security, your body, sex in space... and more! / by the editors of Discover magazine."	31182018202399		
001.9 D	"Conspiracies declassified : the Skeptoid guide to the truth behind the theories / a critical analysis by Brian Dunning, creator of the Skeptoid podcast."	31182034576370		
001.9 J	Secret life : firsthand accounts of UFO abductions / David M. Jacobs   foreword by John E. Mack.	31182009648303		
001.9 M	Abduction : human encounters with aliens / John E. Mack.	31182012174909		
001.9 P	Nonsense on stilts : how to tell science from bunk / Massimo Pigliucci.	31182034701358		
001.9 S	Conspiracy theories & other dangerous ideas / Cass R. Sunstein.	31182020944897		
001.9 T	"Ripley's believe it or not! : incredibly strange! / [text, Geoff Tibballs   interviews, Jo Wiltshire]."	31182020122494		
001.903 R	"An encyclopedia of claims, frauds, and hoaxes of the occult and supernatural / exposed by James Randi."	31182013011423		
001.94 C	The new circlemakers : insights into the crop circle mystery / Andrew Collins.	31182018849728		
001.94 D	Mrs. Wakeman vs. the antichrist : and other strange-but-true tales from American history / Robert Damon Schneck.	31182021110134		
001.94 K	"Finding Atlantis : a true story of genius, madness and an extraordinary quest for a lost world / David King."	31182016782129		
001.94 M	Aliens : past present future / Ron Miller   forewords by David Brin and Dr. John Elliott.	31182034421726		
001.94 S	The keepers : an alien message for the human race / Jim Sparks.	31182018449545		
001.942 A	An alien who's who / edited by Martin S. Kottmeyer  foreword by Greg Bishop  illustrations by Charles Berlin.	31182018224559		
001.942 B	Solomon Islands mysteries : accounts of giants and UFOs in the Solomon Islands / Marius Boirayon.	31182019893261		
001.942 B	Aliens in America : a UFO hunter's guide to extraterrestrial hotspots across the U.S. / William J. Birnes.	31182020019955		
001.942 B	The myth and mystery of UFOs / Thomas E. Bullard.	31182020063094		
001.942 C	The thinking person's UFO book / Gordon Chism.	31182018496751		
001.942 D	"UFOs, the great debate : an objective look at extraterrestrials, government cover-ups, and the prospect of first contact / J. Allan Danelek."	31182018383090		
001.942 F	The Allagash abductions : undeniable evidence of alien intervention / Raymond E. Fowler   foreword by Budd Hopkins.	31182011991782		
001.942 F	Roswell and the Reich : the Nazi connection / Joseph P. Farrell.	31182019952240		
001.942 H	The Presidents and UFOs : a secret history from FDR to Obama / Larry Holcombe.	31182033453845		
001.942 I	"Interdimensional universe : the new science of ufos, paranormal phenomena & otherdimensional beings / Philip Imbrogno."	31182018356666		
001.942 K	The Mothman prophecies / John A. Keel.	31182020911854		
001.942 K	The Mothman prophecies / John A. Keel.	31182020911862		
001.942 M	Passport to the cosmos : human transformation and alien encourters / by John E. Mack.	31182014523947		
001.942 M	The 37th parallel : the secret truth behind America's UFO highway / Ben Mezrich.	31182033968511		
001.942 P	"Encounter in Rendlesham Forest : the inside story of the world's best-documented UFO incident / Nick Pope with John Burroughs, USAF (Ret.), and Jim Penniston, USAF (Ret.)."	31182020963798		
001.942 P	"American cosmic : UFOs, religions, techonology / D.W. Pasulka."	31182034778653		
001.942 R	"The UFO dossier : 100 years of government secrets, conspiracies and cover-ups / Kevin D. Randle."	31182033968545		
001.942 W	"Cosmic ships : truth and lies about UFOs, other humanities, and our future / Samael Aun Weor."	31182020141536		
001.944 A	"The historical Bigfoot : early reports of wild men, hairy giants, and wandering gorillas in North America / Chad Arment."	31182021762520		
001.944 B	The untold story of Champ : a social history of America's Loch Ness Monster / Robert Emerson Bartholomew.	31182019618726		
001.944 C	The Loch Ness monster : the evidence / Steuart Campbell.	31182021762462		
001.944 G	"American monsters : a history of monster lore, legends, and sightings in America / Linda S. Godfrey."	31182021109557		
001.944 L	"Abominable science! : origins of the Yeti, Nessie, and other famous cryptids / Daniel Loxton and Donald R. Prothero."	31182020564380		
001.944 M	The world of Lore : monstrous creatures / Aaron Mahnke   [artwork designed by M.S. Corley].	31182034421742		
001.95 B	"The museum of hoaxes : a collection of pranks, stunts, deceptions, and other wonderful stories contrived for the public from the Middle Ages to the New Millennium / Alex Boese."	31182015483406		
001.95 S	"Hoax : Hitler's diaries, Lincoln's assassins, and other famous frauds / Edward Steers, Jr.   foreword by Joe Nickell."	31182020510029		
001.96 J	Just my typo : from  sinning with the choir  to  the Untied States  / compiled by Drummond Moir.	31182021109581		
